Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
HND,39,340,340,Honduras,0,7011,83.3,68.6,8.8
IDN,39,360,360,Indonesia,0,242988,82.5,87.1,8.8
USA,39,840,840,United States of America,0,605761,82.3,180.9,8.8
LBY,39,434,434,Libya,0,5316,91.1,75.5,8.7
SEN,39,686,686,Senegal,0,8134,81.6,46.1,8.7
MLT,39,470,470,Malta,0,1036,81.6,233.3,8.7
CAF,39,140,140,Central African Republic,0,2023,79.9,40.3,8.7
AFG,39,004,4,Afghanistan,0,16923,78.7,41.5,8.7
SWE,39,752,752,Sweden,0,25569,85.2,250.2,8.6
MDG,39,450,450,Madagascar,0,14270,83.6,48.9,8.6
ISL,39,352,352,Iceland,0,669,83.2,193.7,8.6
TUN,39,788,788,Tunisia,0,12580,80.2,104.4,8.6
GHA,39,288,288,Ghana,0,17944,82.6,55.4,8.5
FIN,39,246,246,Finland,0,13445,79.8,242.0,8.5
GNB,39,624,624,Guinea-Bissau,0,849,76.5,41.2,8.5
AUS,39,036,36,Australia,0,51884,84.6,199.0,8.4
COM,39,174,174,Comoros,0,418,75.3,46.1,8.4
COL,39,170,170,Colombia,0,56719,81.4,110.1,8.3
ISR,39,376,376,Israel,0,12855,83.2,144.1,8.2
MTQ,39,474,474,"France, Martinique",0,886,79.3,236.9,8.2
CHE,39,756,756,Switzerland,0,19420,78.8,221.3,8.2
DZA,39,012,12,Algeria,0,35778,77.7,78.9,8.2
LUX,39,442,442,Luxembourg,0,1093,77.3,170.2,8.2
LCA,39,662,662,Saint Lucia,0,223,76.1,120.5,8.2
BGD,39,050,50,Bangladesh,0,116598,74.7,69.5,8.2
UZB,39,860,860,Uzbekistan,0,22071,71.5,64.2,8.2
GUF,39,254,254,French Guyana,0,233,82.6,74.2,8.1
PER,39,604,604,Peru,0,35934,82.4,106.7,8.1
LSO,39,426,426,Lesotho,0,1411,82.0,64.9,8.1
SSD,39,728,728,South Sudan,0,5081,76.3,43.7,8.1
COD,39,180,180,"Congo, Democratic People Republic of",0,37575,76.2,39.5,8.1
MRT,39,478,478,Mauritania,0,2234,74.8,45.6,8.1
ETH,39,231,231,Ethiopia,0,54698,74.5,45.3,8.1
HTI,39,332,332,Haiti,0,9014,92.2,77.2,8.0
PRI,39,630,630,Puerto Rico,0,5796,75.0,204.8,8.0
NGA,39,566,566,Nigeria,0,79542,74.6,36.7,8.0
STP,39,678,678,Sao Tome and Principe,0,90,68.0,39.5,8.0
BTN,39,064,64,Bhutan,0,480,67.2,60.9,8.0
NIC,39,558,558,Nicaragua,0,4822,76.8,71.1,7.9
TGO,39,768,768,Togo,0,3605,74.0,41.5,7.9
ERI,39,232,232,Eritrea,0,1724,72.5,47.1,7.9
GNQ,39,226,226,Equatorial Guinea,0,589,72.1,39.4,7.9
